date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:02:01	140484/140484	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Jul%202021%2013:50:33%20GMT	https://templates.iqonic.design/datum/html/backend/product.html	C:/My%20Web%20Sites/datum/templates.iqonic.design/datum/html/backend/product.html	(from )
18:02:01	242/242	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2011%20May%202022%2014:02:02%20GMT	https://templates.iqonic.design/robots.txt		(from )
18:02:02	48608/48608	---M-Z	200	added ('OK')	text/css	etag:%22bde0-5c78f6d302df9-gzip%22	https://templates.iqonic.design/datum/html/assets/css/backend-plugin.min.css	C:/My%20Web%20Sites/datum/templates.iqonic.design/datum/html/assets/css/backend-plugin.min.css	(from https://templates.iqonic.design/datum/html/backend/product.html)
18:02:02	375097/375097	---MCZ	200	added ('OK')	text/css	etag:%225b939-5c806db188674-gzip%22	https://templates.iqonic.design/datum/html/assets/css/backend.css?v=1.0.0	C:/My%20Web%20Sites/datum/templates.iqonic.design/datum/html/assets/css/backende209.css	(from https://templates.iqonic.design/datum/html/backend/product.html)
18:02:02	123404/123404	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Jul%202021%2013:50:33%20GMT	https://templates.iqonic.design/datum/html/backend/index.html	C:/My%20Web%20Sites/datum/templates.iqonic.design/datum/html/backend/index.html	(from https://templates.iqonic.design/datum/html/backend/product.html)
18:02:02	19470/19470	---M--	200	added ('OK')	image/png	etag:%224c0e-5c806db18c4f4%22	https://templates.iqonic.design/datum/html/assets/images/logo.png	C:/My%20Web%20Sites/datum/templates.iqonic.design/datum/html/assets/images/logo.png	(from https://templates.iqonic.design/datum/html/backend/product.html)
18:02:02	27265/27265	---M--	200	added ('OK')	image/png	etag:%226a81-5c806db18c4f4%22	https://templates.iqonic.design/datum/html/assets/images/logo-dark.png	C:/My%20Web%20Sites/datum/templates.iqonic.design/datum/html/assets/images/logo-dark.png	(from https://templates.iqonic.design/datum/html/backend/product.html)
18:02:03	148897/148897	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Jul%202021%2013:50:33%20GMT	https://templates.iqonic.design/datum/html/backend/customer.html	C:/My%20Web%20Sites/datum/templates.iqonic.design/datum/html/backend/customer.html	(from https://templates.iqonic.design/datum/html/backend/product.html)
18:02:03	138094/138094	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Jul%202021%2013:50:33%20GMT	https://templates.iqonic.design/datum/html/backend/order.html	C:/My%20Web%20Sites/datum/templates.iqonic.design/datum/html/backend/order.html	(from https://templates.iqonic.design/datum/html/backend/product.html)
18:02:03	150156/150156	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Jul%202021%2013:50:33%20GMT	https://templates.iqonic.design/datum/html/backend/invoice.html	C:/My%20Web%20Sites/datum/templates.iqonic.design/datum/html/backend/invoice.html	(from https://templates.iqonic.design/datum/html/backend/product.html)
18:02:03	7237/7237	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Jul%202021%2013:37:34%20GMT	https://templates.iqonic.design/datum/html/backend/auth-login.html	C:/My%20Web%20Sites/datum/templates.iqonic.design/datum/html/backend/auth-login.html	(from https://templates.iqonic.design/datum/html/backend/product.html)
18:02:04	7734/7734	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Jul%202021%2014:53:48%20GMT	https://templates.iqonic.design/datum/html/backend/auth-sign-up.html	C:/My%20Web%20Sites/datum/templates.iqonic.design/datum/html/backend/auth-sign-up.html	(from https://templates.iqonic.design/datum/html/backend/product.html)
18:02:04	3441/3441	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Jul%202021%2014:53:48%20GMT	https://templates.iqonic.design/datum/html/backend/auth-recover-pwd.html	C:/My%20Web%20Sites/datum/templates.iqonic.design/datum/html/backend/auth-recover-pwd.html	(from https://templates.iqonic.design/datum/html/backend/product.html)
18:02:04	3829/3829	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Jul%202021%2014:53:48%20GMT	https://templates.iqonic.design/datum/html/backend/auth-confirm-mail.html	C:/My%20Web%20Sites/datum/templates.iqonic.design/datum/html/backend/auth-confirm-mail.html	(from https://templates.iqonic.design/datum/html/backend/product.html)
18:02:04	3745/3745	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Jul%202021%2014:53:48%20GMT	https://templates.iqonic.design/datum/html/backend/auth-lock-screen.html	C:/My%20Web%20Sites/datum/templates.iqonic.design/datum/html/backend/auth-lock-screen.html	(from https://templates.iqonic.design/datum/html/backend/product.html)
18:02:04	2730/2730	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Jul%202021%2014:53:48%20GMT	https://templates.iqonic.design/datum/html/backend/pages-error.html	C:/My%20Web%20Sites/datum/templates.iqonic.design/datum/html/backend/pages-error.html	(from https://templates.iqonic.design/datum/html/backend/product.html)
18:02:05	2758/2758	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Jul%202021%2014:53:48%20GMT	https://templates.iqonic.design/datum/html/backend/pages-error-500.html	C:/My%20Web%20Sites/datum/templates.iqonic.design/datum/html/backend/pages-error-500.html	(from https://templates.iqonic.design/datum/html/backend/product.html)
18:02:05	4937/4937	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Jul%202021%2014:53:48%20GMT	https://templates.iqonic.design/datum/html/backend/pages-comingsoon.html	C:/My%20Web%20Sites/datum/templates.iqonic.design/datum/html/backend/pages-comingsoon.html	(from https://templates.iqonic.design/datum/html/backend/product.html)
18:02:05	2602/2602	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Jul%202021%2014:53:48%20GMT	https://templates.iqonic.design/datum/html/backend/pages-maintenance.html	C:/My%20Web%20Sites/datum/templates.iqonic.design/datum/html/backend/pages-maintenance.html	(from https://templates.iqonic.design/datum/html/backend/product.html)
18:02:05	93232/93232	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Jul%202021%2013:50:33%20GMT	https://templates.iqonic.design/datum/html/backend/pages-blank-page.html	C:/My%20Web%20Sites/datum/templates.iqonic.design/datum/html/backend/pages-blank-page.html	(from https://templates.iqonic.design/datum/html/backend/product.html)
18:02:06	106957/106957	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Jul%202021%2013:50:33%20GMT	https://templates.iqonic.design/datum/html/backend/pages-faq.html	C:/My%20Web%20Sites/datum/templates.iqonic.design/datum/html/backend/pages-faq.html	(from https://templates.iqonic.design/datum/html/backend/product.html)
18:02:06	105760/105760	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Jul%202021%2013:50:33%20GMT	https://templates.iqonic.design/datum/html/backend/pricing.html	C:/My%20Web%20Sites/datum/templates.iqonic.design/datum/html/backend/pricing.html	(from https://templates.iqonic.design/datum/html/backend/product.html)
18:02:06	98614/98614	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Jul%202021%2013:50:33%20GMT	https://templates.iqonic.design/datum/html/backend/timeline.html	C:/My%20Web%20Sites/datum/templates.iqonic.design/datum/html/backend/timeline.html	(from https://templates.iqonic.design/datum/html/backend/product.html)
18:02:06	113783/113783	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Jul%202021%2013:50:33%20GMT	https://templates.iqonic.design/datum/html/backend/ui-avatars.html	C:/My%20Web%20Sites/datum/templates.iqonic.design/datum/html/backend/ui-avatars.html	(from https://templates.iqonic.design/datum/html/backend/product.html)
18:02:06	127844/127844	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Jul%202021%2013:50:33%20GMT	https://templates.iqonic.design/datum/html/backend/ui-alerts.html	C:/My%20Web%20Sites/datum/templates.iqonic.design/datum/html/backend/ui-alerts.html	(from https://templates.iqonic.design/datum/html/backend/product.html)
18:02:07	109940/109940	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Jul%202021%2013:50:33%20GMT	https://templates.iqonic.design/datum/html/backend/ui-badges.html	C:/My%20Web%20Sites/datum/templates.iqonic.design/datum/html/backend/ui-badges.html	(from https://templates.iqonic.design/datum/html/backend/product.html)
18:02:07	120243/120243	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Jul%202021%2013:50:33%20GMT	https://templates.iqonic.design/datum/html/backend/ui-breadcrumb.html	C:/My%20Web%20Sites/datum/templates.iqonic.design/datum/html/backend/ui-breadcrumb.html	(from https://templates.iqonic.design/datum/html/backend/product.html)
18:02:07	137035/137035	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Jul%202021%2013:50:33%20GMT	https://templates.iqonic.design/datum/html/backend/ui-buttons.html	C:/My%20Web%20Sites/datum/templates.iqonic.design/datum/html/backend/ui-buttons.html	(from https://templates.iqonic.design/datum/html/backend/product.html)
18:02:07	121803/121803	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Jul%202021%2013:50:33%20GMT	https://templates.iqonic.design/datum/html/backend/ui-buttons-group.html	C:/My%20Web%20Sites/datum/templates.iqonic.design/datum/html/backend/ui-buttons-group.html	(from https://templates.iqonic.design/datum/html/backend/product.html)
18:02:07	98576/98576	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Jul%202021%2013:50:33%20GMT	https://templates.iqonic.design/datum/html/backend/ui-boxshadow.html	C:/My%20Web%20Sites/datum/templates.iqonic.design/datum/html/backend/ui-boxshadow.html	(from https://templates.iqonic.design/datum/html/backend/product.html)
18:02:08	103690/103690	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Jul%202021%2013:50:33%20GMT	https://templates.iqonic.design/datum/html/backend/ui-colors.html	C:/My%20Web%20Sites/datum/templates.iqonic.design/datum/html/backend/ui-colors.html	(from https://templates.iqonic.design/datum/html/backend/product.html)
18:02:08	119845/119845	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Jul%202021%2013:50:33%20GMT	https://templates.iqonic.design/datum/html/backend/ui-cards.html	C:/My%20Web%20Sites/datum/templates.iqonic.design/datum/html/backend/ui-cards.html	(from https://templates.iqonic.design/datum/html/backend/product.html)
18:02:08	117754/117754	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Jul%202021%2013:50:33%20GMT	https://templates.iqonic.design/datum/html/backend/ui-carousel.html	C:/My%20Web%20Sites/datum/templates.iqonic.design/datum/html/backend/ui-carousel.html	(from https://templates.iqonic.design/datum/html/backend/product.html)
18:02:08	115626/115626	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Jul%202021%2013:50:33%20GMT	https://templates.iqonic.design/datum/html/backend/ui-grid.html	C:/My%20Web%20Sites/datum/templates.iqonic.design/datum/html/backend/ui-grid.html	(from https://templates.iqonic.design/datum/html/backend/product.html)
18:02:09	120388/120388	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Jul%202021%2013:50:33%20GMT	https://templates.iqonic.design/datum/html/backend/ui-images.html	C:/My%20Web%20Sites/datum/templates.iqonic.design/datum/html/backend/ui-images.html	(from https://templates.iqonic.design/datum/html/backend/product.html)
18:02:09	126247/126247	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Jul%202021%2013:50:33%20GMT	https://templates.iqonic.design/datum/html/backend/ui-list-group.html	C:/My%20Web%20Sites/datum/templates.iqonic.design/datum/html/backend/ui-list-group.html	(from https://templates.iqonic.design/datum/html/backend/product.html)
18:02:09	114189/114189	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Jul%202021%2013:50:33%20GMT	https://templates.iqonic.design/datum/html/backend/ui-media-object.html	C:/My%20Web%20Sites/datum/templates.iqonic.design/datum/html/backend/ui-media-object.html	(from https://templates.iqonic.design/datum/html/backend/product.html)
18:02:09	145302/145302	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Jul%202021%2013:50:33%20GMT	https://templates.iqonic.design/datum/html/backend/ui-modal.html	C:/My%20Web%20Sites/datum/templates.iqonic.design/datum/html/backend/ui-modal.html	(from https://templates.iqonic.design/datum/html/backend/product.html)
18:02:09	123324/123324	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Jul%202021%2013:50:33%20GMT	https://templates.iqonic.design/datum/html/backend/ui-notifications.html	C:/My%20Web%20Sites/datum/templates.iqonic.design/datum/html/backend/ui-notifications.html	(from https://templates.iqonic.design/datum/html/backend/product.html)
18:02:10	118330/118330	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Jul%202021%2013:50:33%20GMT	https://templates.iqonic.design/datum/html/backend/ui-pagination.html	C:/My%20Web%20Sites/datum/templates.iqonic.design/datum/html/backend/ui-pagination.html	(from https://templates.iqonic.design/datum/html/backend/product.html)
18:02:10	111747/111747	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Jul%202021%2013:50:33%20GMT	https://templates.iqonic.design/datum/html/backend/ui-popovers.html	C:/My%20Web%20Sites/datum/templates.iqonic.design/datum/html/backend/ui-popovers.html	(from https://templates.iqonic.design/datum/html/backend/product.html)
